Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 234532.469	61.99	21.69	n/a	n/a	n/a	n/a	n/a	n/a	0.77	0.20	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-9.942	1
29072023 234553.871	50.60	25.91	n/a	n/a	n/a	n/a	n/a	n/a	0.62	0.25	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-9.942	1
29072023 234615.273	38.88	17.45	n/a	n/a	n/a	n/a	n/a	n/a	0.47	0.15	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-9.942	1
29072023 234636.674	23.53	15.64	n/a	n/a	n/a	n/a	n/a	n/a	0.28	0.13	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-9.942	1
29072023 234658.075	23.84	15.89	n/a	n/a	n/a	n/a	n/a	n/a	0.28	0.13	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-9.942	1
29072023 234719.375	26.34	16.08	n/a	n/a	n/a	n/a	n/a	n/a	0.31	0.13	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-9.942	1
29072023 234740.571	26.02	12.45	n/a	n/a	n/a	n/a	n/a	n/a	0.31	0.09	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-9.942	1
29072023 234801.769	17.82	11.00	n/a	n/a	n/a	n/a	n/a	n/a	0.21	0.07	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-9.942	1
29072023 234823.170	11.74	1.68	n/a	n/a	n/a	n/a	n/a	n/a	0.13	-0.04	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-9.942	1
29072023 234844.469	21.99	8.22	n/a	n/a	n/a	n/a	n/a	n/a	0.26	0.04	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-9.942	1
29072023 234905.666	33.76	24.48	n/a	n/a	n/a	n/a	n/a	n/a	0.41	0.23	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-9.942	1
29072023 234926.888	43.91	25.04	n/a	n/a	n/a	n/a	n/a	n/a	0.54	0.24	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-9.942	1
29072023 234948.188	41.69	25.75	n/a	n/a	n/a	n/a	n/a	n/a	0.51	0.24	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-9.942	1
29072023 235009.384	31.33	20.89	n/a	n/a	n/a	n/a	n/a	n/a	0.38	0.19	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-9.942	1
30072023 001244.264	716.53	824.07	n/a	n/a	n/a	n/a	n/a	n/a	9.11	9.56	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-9.942	1
30072023 001305.563	300.12	303.03	n/a	n/a	n/a	n/a	n/a	n/a	3.80	3.48	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-9.942	1
30072023 001326.965	311.06	271.53	n/a	n/a	n/a	n/a	n/a	n/a	3.94	3.11	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-9.942	1
30072023 001348.366	286.30	267.71	n/a	n/a	n/a	n/a	n/a	n/a	3.63	3.07	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-9.942	1
30072023 001409.666	265.84	243.81	n/a	n/a	n/a	n/a	n/a	n/a	3.36	2.79	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-9.942	1
30072023 001430.888	234.32	174.73	n/a	n/a	n/a	n/a	n/a	n/a	2.96	1.98	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-9.942	1
30072023 001451.983	168.14	164.64	n/a	n/a	n/a	n/a	n/a	n/a	2.12	1.87	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-9.942	1
30072023 001513.179	186.99	143.36	n/a	n/a	n/a	n/a	n/a	n/a	2.36	1.62	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-9.942	1
30072023 001534.274	125.45	96.62	n/a	n/a	n/a	n/a	n/a	n/a	1.58	1.07	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-9.942	1
30072023 001555.470	95.97	79.73	n/a	n/a	n/a	n/a	n/a	n/a	1.20	0.87	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-9.942	1
30072023 001616.565	88.38	62.34	n/a	n/a	n/a	n/a	n/a	n/a	1.10	0.67	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-9.942	1
30072023 001637.787	66.99	60.06	n/a	n/a	n/a	n/a	n/a	n/a	0.83	0.64	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-9.942	1
30072023 001659.163	54.97	45.15	n/a	n/a	n/a	n/a	n/a	n/a	0.68	0.47	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-9.942	1
