Time	Channel 1 (mV)	Channel 2 (mV)	Channel 3 (mV)	Channel 4 (mV)	Channel 5 (mV)	Channel 6 (mV)	Channel 7 (mV)	Channel 8 (mV)	Channel 1_cal (µmol/L)	Channel 2_cal (µmol/L)	Channel 3_cal ()	Channel 4_cal ()	Channel 5_cal ()	Channel 6_cal ()	Channel 7_cal ()	Channel 8_cal ()	Motor 1 (mm)	Motor 2 (mm)	GroupId
29072023 171904.356	54.62	159.68	n/a	n/a	n/a	n/a	n/a	n/a	0.67	1.81	n/a	n/a	n/a	n/a	n/a	n/a	41.974	-10.000	1
29072023 171925.451	70.02	107.83	n/a	n/a	n/a	n/a	n/a	n/a	0.87	1.20	n/a	n/a	n/a	n/a	n/a	n/a	43.973	-10.000	1
29072023 171946.647	71.67	109.00	n/a	n/a	n/a	n/a	n/a	n/a	0.89	1.22	n/a	n/a	n/a	n/a	n/a	n/a	45.972	-10.000	1
29072023 172007.742	72.52	89.58	n/a	n/a	n/a	n/a	n/a	n/a	0.90	0.99	n/a	n/a	n/a	n/a	n/a	n/a	47.970	-10.000	1
29072023 172028.938	79.91	88.85	n/a	n/a	n/a	n/a	n/a	n/a	1.00	0.98	n/a	n/a	n/a	n/a	n/a	n/a	49.969	-10.000	1
29072023 181150.507	876.63	852.86	n/a	n/a	n/a	n/a	n/a	n/a	11.15	9.90	n/a	n/a	n/a	n/a	n/a	n/a	0.000	-10.000	1
29072023 181211.703	856.33	829.72	n/a	n/a	n/a	n/a	n/a	n/a	10.89	9.63	n/a	n/a	n/a	n/a	n/a	n/a	1.999	-10.000	1
29072023 181232.900	473.00	319.90	n/a	n/a	n/a	n/a	n/a	n/a	6.00	3.68	n/a	n/a	n/a	n/a	n/a	n/a	3.998	-10.000	1
29072023 181254.019	331.78	323.21	n/a	n/a	n/a	n/a	n/a	n/a	4.20	3.72	n/a	n/a	n/a	n/a	n/a	n/a	5.996	-10.000	1
29072023 181315.216	367.71	339.76	n/a	n/a	n/a	n/a	n/a	n/a	4.66	3.91	n/a	n/a	n/a	n/a	n/a	n/a	7.995	-10.000	1
29072023 181336.310	393.76	345.50	n/a	n/a	n/a	n/a	n/a	n/a	4.99	3.98	n/a	n/a	n/a	n/a	n/a	n/a	9.994	-10.000	1
29072023 181357.404	409.64	338.21	n/a	n/a	n/a	n/a	n/a	n/a	5.20	3.89	n/a	n/a	n/a	n/a	n/a	n/a	11.993	-10.000	1
29072023 181418.601	382.26	325.85	n/a	n/a	n/a	n/a	n/a	n/a	4.85	3.75	n/a	n/a	n/a	n/a	n/a	n/a	13.991	-10.000	1
29072023 181439.721	387.95	296.36	n/a	n/a	n/a	n/a	n/a	n/a	4.92	3.40	n/a	n/a	n/a	n/a	n/a	n/a	15.990	-10.000	1
29072023 181500.815	322.13	266.50	n/a	n/a	n/a	n/a	n/a	n/a	4.08	3.05	n/a	n/a	n/a	n/a	n/a	n/a	17.989	-10.000	1
29072023 181522.012	310.28	195.10	n/a	n/a	n/a	n/a	n/a	n/a	3.93	2.22	n/a	n/a	n/a	n/a	n/a	n/a	19.988	-10.000	1
29072023 181543.106	130.73	144.47	n/a	n/a	n/a	n/a	n/a	n/a	1.64	1.63	n/a	n/a	n/a	n/a	n/a	n/a	21.986	-10.000	1
29072023 181604.302	98.06	72.29	n/a	n/a	n/a	n/a	n/a	n/a	1.23	0.79	n/a	n/a	n/a	n/a	n/a	n/a	23.985	-10.000	1
29072023 181625.422	108.49	82.71	n/a	n/a	n/a	n/a	n/a	n/a	1.36	0.91	n/a	n/a	n/a	n/a	n/a	n/a	25.984	-10.000	1
29072023 181646.516	120.71	84.13	n/a	n/a	n/a	n/a	n/a	n/a	1.52	0.93	n/a	n/a	n/a	n/a	n/a	n/a	27.983	-10.000	1
29072023 181707.713	91.93	57.52	n/a	n/a	n/a	n/a	n/a	n/a	1.15	0.61	n/a	n/a	n/a	n/a	n/a	n/a	29.981	-10.000	1
29072023 181728.807	96.72	60.84	n/a	n/a	n/a	n/a	n/a	n/a	1.21	0.65	n/a	n/a	n/a	n/a	n/a	n/a	31.980	-10.000	1
29072023 181750.004	74.43	55.33	n/a	n/a	n/a	n/a	n/a	n/a	0.93	0.59	n/a	n/a	n/a	n/a	n/a	n/a	33.979	-10.000	1
29072023 181811.098	74.15	77.30	n/a	n/a	n/a	n/a	n/a	n/a	0.92	0.85	n/a	n/a	n/a	n/a	n/a	n/a	35.978	-10.000	1
29072023 181832.320	77.42	83.78	n/a	n/a	n/a	n/a	n/a	n/a	0.96	0.92	n/a	n/a	n/a	n/a	n/a	n/a	37.976	-10.000	1
29072023 181853.696	77.36	100.73	n/a	n/a	n/a	n/a	n/a	n/a	0.96	1.12	n/a	n/a	n/a	n/a	n/a	n/a	39.975	-10.000	1
